10:57:31.714 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/admin/permanentUsers],methods=[PUT]}" onto public int jp.co.worksap.updater.web.rest.AdminWebService.savePermanentUsers(jp.co.worksap.updater.web.dto.UserDto) throws java.io.IOException
10:57:31.714 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/admin/permanentUsers/{userId}/config],methods=[DELETE]}" onto public void jp.co.worksap.updater.web.rest.AdminWebService.removePermanentUsers(int) throws java.io.IOException
10:57:31.714 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/admin/permanentUsers/{userId}/config],methods=[PUT]}" onto public jp.co.worksap.updater.web.dto.UserDto jp.co.worksap.updater.web.rest.AdminWebService.configPermanentUsers(int,java.util.Map<java.lang.Integer, java.lang.Boolean>) throws java.io.IOException
10:57:31.714 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/admin/uploadConfiguration],methods=[POST]}" onto public boolean jp.co.worksap.updater.web.rest.AdminWebService.uploadConfiguration(org.springframework.web.multipart.MultipartFile) throws java.io.IOException
10:57:31.714 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/admin/uploadTempUserFile],methods=[POST]}" onto public jp.co.worksap.updater.web.dto.UserDto jp.co.worksap.updater.web.rest.AdminWebService.uploadTempUserFile(org.springframework.web.multipart.MultipartFile) throws java.io.IOException
10:57:31.714 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/admin/environments/{envId}/executors],methods=[GET]}" onto public java.util.List<jp.co.worksap.updater.common.ExecutorConfig> jp.co.worksap.updater.web.rest.AdminWebService.getExecutors(int)
10:57:31.714 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/admin/environments/{envId}/executors],methods=[POST]}" onto public int jp.co.worksap.updater.web.rest.AdminWebService.createExecutor(int,jp.co.worksap.updater.common.ExecutorConfig) throws java.io.IOException
10:57:31.714 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/display_language],methods=[GET]}" onto public java.util.Map<java.lang.String, java.lang.String> jp.co.worksap.updater.web.rest.CommonWebService.getDisplayLanguage()
10:57:31.714 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/users/{userId}],methods=[GET]}" onto public jp.co.worksap.updater.web.dto.UserDto jp.co.worksap.updater.web.rest.CommonWebService.getUserById(int)
10:57:31.714 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/users/{userId}/password],methods=[PUT]}" onto public java.util.Map<java.lang.String, java.lang.Boolean> jp.co.worksap.updater.web.rest.CommonWebService.changePassword(int,java.util.Map<java.lang.String, java.lang.Object>)
10:57:31.714 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/is_permanent_user],methods=[GET]}" onto public boolean jp.co.worksap.updater.web.rest.CommonWebService.isPermanentUser()
10:57:31.714 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/support_update],methods=[POST]}" onto public java.lang.Boolean jp.co.worksap.updater.web.rest.CommonWebService.changeSupportInfo(java.util.Map<java.lang.String, java.lang.String>)
10:57:31.714 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/users/login],methods=[GET]}" onto public jp.co.worksap.updater.web.dto.UserDto jp.co.worksap.updater.web.rest.CommonWebService.getUser()
10:57:31.714 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/display_language/{language}],methods=[POST]}" onto public void jp.co.worksap.updater.web.rest.CommonWebService.saveDisplayLanguage(java.lang.String)
10:57:31.714 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/check_support_token],methods=[GET]}" onto public boolean jp.co.worksap.updater.web.rest.CommonWebService.isAbleToConnectToSupport()
10:57:31.714 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/updater_version],methods=[GET]}" onto public int jp.co.worksap.updater.web.rest.CommonWebService.getUpdaterVersion()
10:57:31.714 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/self_update/ciu/current],methods=[GET]}" onto public jp.co.worksap.updater.web.dto.VersionDto jp.co.worksap.updater.web.rest.SelfUpdateWebService.getCurrentCiuVersion()
10:57:31.714 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/self_update/executor/result],methods=[POST]}" onto public void jp.co.worksap.updater.web.rest.SelfUpdateWebService.executorSelfUpdateResult(java.util.Map<java.lang.String, java.lang.String>)
10:57:31.714 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/self_update/executor/{version}],methods=[POST]}" onto public java.util.Map<java.lang.String, java.lang.Object> jp.co.worksap.updater.web.rest.SelfUpdateWebService.selfUpdateExecutor(java.lang.String)
10:57:31.714 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/self_update/controller/{version}],methods=[POST]}" onto public java.util.Map<java.lang.String, java.lang.Object> jp.co.worksap.updater.web.rest.SelfUpdateWebService.selfUpdateController(java.lang.String)
10:57:31.714 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/self_update/ciu/latest],methods=[GET]}" onto public jp.co.worksap.updater.web.dto.VersionDto jp.co.worksap.updater.web.rest.SelfUpdateWebService.getLatestCiuVersion()
10:57:31.714 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/self_update/download/{version}],methods=[POST]}" onto public boolean jp.co.worksap.updater.web.rest.SelfUpdateWebService.downloadCiuInRemoteResource(java.lang.String)
10:57:31.729 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/next/{type}],methods=[POST]}" onto public boolean jp.co.worksap.updater.web.rest.UpdateWebService.next(java.lang.String,java.util.Map<java.lang.String, java.lang.String>)
10:57:31.729 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/reset],methods=[POST]}" onto public boolean jp.co.worksap.updater.web.rest.UpdateWebService.reset()
10:57:31.729 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/environment/{envId}],methods=[GET]}" onto public jp.co.worksap.updater.web.dto.EnvironmentDto jp.co.worksap.updater.web.rest.UpdateWebService.getEnv(int)
10:57:31.729 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/finish/{envId}/{versionId}],methods=[POST]}" onto public boolean jp.co.worksap.updater.web.rest.UpdateWebService.finish(int,int,jp.co.worksap.updater.web.dto.VersionDto) throws java.io.IOException
